"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20150304002069I","04-MAR-15","PHOENIX","AZ","PHOENIX DEER VALLEY","INCIDENT","NONE","TAKEOFF: CLIMB OUT","PIPER","PA44","180","FLIGHT QUEST AVIATION INC","","PILOT SCHOOLS","","317PA","0","0","LYCOMI","O-360","A4M","","AIRLINE TRANSPORT","2700","","",""
"20150304002499I","04-MAR-15","BELGRADE","MT","BOZEMAN YELLOWSTONE INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","DASSAULT","FALCON7X","NO SERIES EXISTS","DELTA PRIVATE JETS INC","","GENERAL OPERATING RULES","","7707X","0","0","P&W CA","PW307A","","","AIRLINE TRANSPORT","9500","165","23",""
"20150304002819I","04-MAR-15","CEDAR KEY","FL","GEORGE T LEWIS","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","172","P","","","GENERAL OPERATING RULES","","64859","0","0","LYCOMI","IO-320 SERIES","","1","PRIVATE PILOT","","","",""
"20150304003189I","04-MAR-15","HAWTHORNE","CA","JACK NORTHROP FIELD/HAWTHORNE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","341AL","0","0","JABIRU","3300A","","","PRIVATE PILOT","","","",""
"20150304004989I","04-MAR-15","SAN DIEGO","CA","MONTGOMERY FIELD","INCIDENT","NONE","LANDING: APPROACH","AERONCA","7CCM","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2349E","0","0","CONT M","C90 SERIES","","1","PRIVATE PILOT","500","15","30",""
"20150305002749I","05-MAR-15","SAINT LOUIS","MO","LAMBERT-ST LOUIS INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","EMBRAER","EMB145","MP","TRANS STATES AIRLINES LLC","","AIR CARRIER/COMMERCIAL","","856HK","0","0","ROLLS-","AE 3007A1","","","","","","",""
"20150305005279I","05-MAR-15","FULLERTON","CA","FULLERTON MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","36391","0","0","CONT M","TSIO-360 SER","","","","","","",""
"20150306002179I","06-MAR-15","INDIANAPOLIS","IN","EAGLE CREEK AIRPARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32R","301","","","GENERAL OPERATING RULES","","9165N","0","0","LYCOMI","IO-540 SER","","","COMMERCIAL PILOT","4000","","15",""
"20150306002729I","06-MAR-15","OXFORD","CT","WATERBURY-OXFORD","INCIDENT","MINOR","TAKEOFF: DEPARTURE","MOONEY","M20TN","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","521A","0","0","CONT M","TSIO-550-G","UKNOWN","1","PRIVATE PILOT","390","240","10",""
"20150306002759I","06-MAR-15","GRAFTON","ND","HUTSON FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","S","","","GENERAL OPERATING RULES","","6021K","0","0","LYCOMI","IO-360-L2A","","1","STUDENT","94","94","15",""
"20150306003579I","06-MAR-15","","CA","SKYLARK FIELD","INCIDENT","NONE","OTHER-SPECIFY","","","","","","PARACHUTE JUMPING","","NONE","1","0","","","","","","","","",""
"20150306004599I","06-MAR-15","FRESNO","CA","FRESNO CHANDLER EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","55621","0","0","LYCOMI","0-320 SERIES","","","","","","",""
"20150306005309I","06-MAR-15","IRWINDALE","CA","","INCIDENT","SUBSTANTIAL","LANDING: APPROACH","ROBINSON","R44","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","41352","0","0","LYCOMI","IO-540-AE1A5","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3784","312","57",""
"20150307002029I","07-MAR-15","ONTARIO","OR","ONTARIO MUNI","INCIDENT","MINOR","LANDING: APPROACH","AIR TRACTOR","AT301","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","23923","0","0","P&W","R1340 SERIES","","","COMMERCIAL PILOT","22407","3000","46",""
"20150307004039I","07-MAR-15","HOUMA","LA","HOUMA-TERREBONNE","INCIDENT","MINOR","LANDING: ROLLOUT","GLOBE","GC1B","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","80949","0","0","CONT M","0-300 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6500","5","30",""
"20150308002529I","08-MAR-15","RILEY","KS","LEO'S PLACE","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","30845","0","0","","","","","PRIVATE PILOT","1225","77","1",""
"20150308002639I","08-MAR-15","WILSON","WI","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA28","161","","","GENERAL OPERATING RULES","","21522","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","230","30","20",""
"20150308007809I","08-MAR-15","GREEN COVE SPRINGS","FL","HALLER AIRPARK","INCIDENT","MINOR","TAKEOFF: ROTATION","","","","","","GENERAL OPERATING RULES","","515XP","0","0","CORVAI","GO-140","","","","","","",""
"20150309001769I","09-MAR-15","CANANDAIGUA","NY","","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA12","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","7748H","0","0","LYCOMI","0-235 SERIES","","","PRIVATE PILOT","449","354","19",""
"20150309002289I","09-MAR-15","SACRAMENTO","CA","SACRAMENTO EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","170","B","","","GENERAL OPERATING RULES","","170HT","0","0","CONT M","0-300 SER","","1","COMMERCIAL PILOT","2700","","",""
"20150309003599I","09-MAR-15","VICTORVILLE","CA","SOUTHERN CALIFORNIA LOGISTICS","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BOEING","747","121","","","GENERAL OPERATING RULES","","747GE","0","0","P & W","JT9D-7A","","","AIRLINE TRANSPORT","6500","2500","247",""
"20150310003079I","10-MAR-15","CEDAR RAPIDS","IA","THE EASTERN IOWA","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","550","NO SERIES EXISTS","JET AIR INC","","GENERAL OPERATING RULES","","10LY","0","0","P&W CA","JT15D-4","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","18800","3800","175",""
"20150311003099I","11-MAR-15","WAVERLY","OH","PIKE COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32R","300","","","GENERAL OPERATING RULES","","5510V","0","0","LYCOMI","IO-540-K1G5D","","","COMMERCIAL PILOT","1181","797","178",""
"20150312001939I","12-MAR-15","MIRAMAR","FL","NORTH PERRY","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA25","235","","","GENERAL OPERATING RULES","","86AB","0","0","LYCOMI","O-540-B2C5","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","851","38","134",""
"20150312002899I","12-MAR-15","ANCHORAGE","AK","MERRILL FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA22","150","","","GENERAL OPERATING RULES","","9811D","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3400","115","75",""
"20150312003609I","12-MAR-15","PALM SPRINGS","CA","PALM SPRINGS INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","DIAMOND","DA20","C1","","","PILOT SCHOOLS","","309EF","0","0","CONT M","IO-240 SER","","","UNKNOWN/FOREIGN","","","",""
"20150312003619I","12-MAR-15","PALM SPRINGS","CA","PALM SPRINGS INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","STEARMAN","A75","N1","","","GENERAL OPERATING RULES","","67823","0","0","LYCOMI","R680","","","COMMERCIAL PILOT","3500","780","50",""
"20150312004029I","12-MAR-15","STARTZVILLE","TX","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA32","300","","","GENERAL OPERATING RULES","","745AA","0","0","LYCOMI","TI0-540 SER","","","AIRLINE TRANSPORT","13480","22","13",""
"20150312005149I","12-MAR-15","ANCHORAGE","AK","WASILLA","INCIDENT","SUBSTANTIAL","GROUND-RAMP","PIPER","PA18","150","","","GENERAL OPERATING RULES","","4387Z","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","362","50","12",""
"20150313003049I","13-MAR-15","BILLINGS","MT","BILLINGS LOGAN INTL","INCIDENT","MINOR","LANDING: ROLLOUT","NAVION","NAVION","G","","","GENERAL OPERATING RULES","","2408T","0","0","CONT M","IO-550","IO-550","","COMMERCIAL PILOT","4055","1600","3",""
"20150313003109I","13-MAR-15","LINCOLN PARK","NJ","LINCOLN PARK","INCIDENT","MINOR","LANDING: ROLLOUT","COMMANDER","114","B","","","GENERAL OPERATING RULES","","7MA","0","0","LYCOMI","IO-540 SER","L-2488","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","2636","21","28",""
"20150313004999I","13-MAR-15","IMPERIAL","CA","IMPERIAL COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","LANCAIR","LC41","550FG","","","GENERAL OPERATING RULES","","1454D","0","0","CONT M","TSIO-550-C","","","","","","",""
"20150314001921I","14-MAR-15","KEY WEST","FL","KEY WEST INTL","INCIDENT","MINOR","TAXI","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","8186R","0","0","CONT M","TSIO-360 SER","","","PRIVATE PILOT","","","",""
"20150314002609I","14-MAR-15","KENOSHA","WI","KENOSHA RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","T210","M","","","GENERAL OPERATING RULES","","9186T","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","1580","1100","3",""
"20150314002849I","14-MAR-15","SARASOTA","FL","SARASOTA/BRADENTON INTL","INCIDENT","MINOR","TAKEOFF: ROTATION","ROBINSON","R22","BETA","SUNCOAST HELICOPTERS INC","","","","472SH","0","0","LYCOMI","O-360-J2A","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","630","570","20",""
"20150314003329I","14-MAR-15","MONTGOMERY","AL","MONTGOMERY RGNL (DANNELLY FIELD)","INCIDENT","MINOR","LANDING: ROLLOUT","CIRRUS","SR22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","719ED","0","0","CONT M","IO-550-N","","1","COMMERCIAL PILOT","801","801","23",""
"20150314003409I","14-MAR-15","CHICAGO","IL","CHICAGO O'HARE","INCIDENT","MINOR","LANDING: APPROACH","BOMBARDIER","CL600 2C10","700","GOJET AIRLINES LLC","","AIR CARRIER/COMMERCIAL","","157GJ","0","0","GE","CF34-8C5B1","","","","","","",""
"20150314007899I","14-MAR-15","FORT WORTH","TX","FORT WORTH MEACHAM INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","B36TC","","","GENERAL OPERATING RULES","","8241N","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","324","11","15",""
"20150315003649I","15-MAR-15","SMITHFIELD","RI","NORTH CENTRAL STATE","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","201T","","","GENERAL OPERATING RULES","","1747H","0","0","","","","","PRIVATE PILOT","433","339","",""
"20150315004569I","15-MAR-15","NORTH LAS VEGAS","NV","NORTH LAS VEGAS","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","421","C","KRYSTAL AVIATION LLC","","GENERAL OPERATING RULES","","421GJ","0","0","CONT M","GTSIO-520 SER","","2","AIRLINE TRANSPORT","","","",""
"20150315005969I","15-MAR-15","PORTERVILLE","CA","PORTERVILLE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","AVIAT","A1","C200","","","GENERAL OPERATING RULES","","462WC","0","0","LYCOMI","IO-360-A1D6","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","10037","110","61",""
"20150315011919I","15-MAR-15","MESA","AZ","FALCON FLD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA28","181","","","PILOT SCHOOLS","","28251","0","0","LYCOMI","O-360","O-360-","","PRIVATE PILOT FLIGHT INSTRUCTOR","","","",""
"20150316002489I","16-MAR-15","BROOMFIELD","CO","ROCKY MOUNTAIN METROPOLITAN","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","172","S","","","GENERAL OPERATING RULES","","2099J","0","0","LYCOMI","IO-360-L2A","","1","STUDENT","55","55","",""
"20150316004009I","16-MAR-15","PARAGOULD","AR","KIRK FIELD","INCIDENT","MINOR","GROUND-RAMP","GRUMMAN","G164","A","","","GENERAL OPERATING RULES","","7806","0","0","P&W","R1340 SERIES","","","COMMERCIAL PILOT","2350","10","40",""
"20150316009949I","16-MAR-15","SHELBY","MS","SHELBY AIR SERVICE","INCIDENT","MINOR","MANEUVER","AIR TRACTOR","AT802","A","BRUNETTI, FINLEY JR","","AGRICULTURAL","","385LA","0","0","P&W CA","PT6A-65AG","","","COMMERCIAL PILOT","6000","1400","150",""
"20150317001989I","17-MAR-15","GAINESVILLE","GA","LEE GILMER MEMORIAL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA18","150","","","GENERAL OPERATING RULES","","5ZU","0","0","LYCOMI","0-320 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","23500","220","22",""
"20150318002919I","18-MAR-15","RICHMOND","VA","RICHMOND INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","SWEARINGEN","SA227","AT","AMERIFLIGHT LLC","","AIR TAXI/COMMUTER","","244DH","0","0","AMA/EX","UNKNOWN ENG","UNKNOW","","AIRLINE TRANSPORT","9000","4500","100",""
"20150318002969I","18-MAR-15","LEXINGTON","KY","UK HOSPITAL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BELL","206","L3","AIR EVAC EMS INC","","AIR TAXI/COMMUTER","","282AE","0","0","ALLISO","250-C30 SER","CAE 89","","","","","",""
"20150319003809I","19-MAR-15","ALPINE","TX","ALPINE-CASPARIS MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","911LB","0","0","LYCOMI","AEIO-360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1600","30","70",""
"20150319004579I","19-MAR-15","PEACH SPRINGS","AZ","GRAND CANYON WEST","INCIDENT","MINOR","DESCENT","AEROSPATIALE","AS350","B3","PAPILLON AIRWAYS INC","","AIR TAXI/COMMUTER","","835PA","0","1","TURBOM","ARRIEL 2D","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2411","615","72",""
"20150319004729I","19-MAR-15","MARATHON","FL","THE FLORIDA KEYS MARATHON","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","140","","","GENERAL OPERATING RULES","","12512","0","0","LYCOMI","O-320-E2A","","","STUDENT","","","",""
"20150320004309I","20-MAR-15","JACKSONVILLE","FL","JACKSONVILLE INTL","INCIDENT","MINOR","TAXI","PIPER","PA28RT","201T","","","GENERAL OPERATING RULES","","2189N","0","0","CONT M","TSIO-360 SER","","","PRIVATE PILOT","2000","650","35",""
"20150320005319I","20-MAR-15","OXNARD","CA","OXNARD","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","A36","","","GENERAL OPERATING RULES","","78CR","0","0","CONT M","IO-520-BB","","1","PRIVATE PILOT","346","53","43",""
"20150320006989I","20-MAR-15","KLAWOCK","AK","KLAWOCK","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","208","B","SCOTT AIR LLC","","AIR TAXI/COMMUTER","","1229C","0","0","P&W","PT6A SER","","1","","","","",""
"20150321002629I","21-MAR-15","MOLINE","IL","QUAD CITY INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","23","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","6201J","0","0","LYCOMI","O-360-A4K","","","STUDENT","81","16","23",""
"20150321003659I","21-MAR-15","HOLLYWOOD","FL","NORTH PERRY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","181","","","PILOT SCHOOLS","","531NA","0","0","LYCOMI","O&VO-360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","394","89","186",""
"20150321003669I","21-MAR-15","WOODSTOCK","GA","AIR ACRES","INCIDENT","SUBSTANTIAL","LANDING: ROLLOUT","PIPER","PA28","235","","","GENERAL OPERATING RULES","","8803W","0","0","LYCOMI","0-540 SERIES","","","AIRLINE TRANSPORT","28500","250","15",""
"20150321004289I","21-MAR-15","FREMONT","NE","FREMONT MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","180","","","GENERAL OPERATING RULES","","3712R","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","90","25","20",""
"20150321004819I","21-MAR-15","MANASSAS","VA","MANASSAS RGNL/HARRY P. DAVIS FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","161","","","PILOT SCHOOLS","","104VA","0","0","LYCOMI","0-320 SERIES","","","","","","",""
"20150321005069I","21-MAR-15","FLAGSTAFF","AZ","FLAGSTAFF PULLIAM","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","T206","H","","","GENERAL OPERATING RULES","","216CP","0","0","LYCOMI","TIO-540-AJ1A","","1","PRIVATE PILOT","277","53","8",""
"20150321005099I","21-MAR-15","TUCSON","AZ","RYAN FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","T210","F","","","GENERAL OPERATING RULES","","6106R","0","0","CONT M","GTSIO-520-C","","1","PRIVATE PILOT","380","180","3",""
"20150321005169I","21-MAR-15","WASILLA","AK","","INCIDENT","SUBSTANTIAL","TAXI","","","","","","GENERAL OPERATING RULES","","907DD","0","1","ROTAX","582DCDI","","","","","","",""
"20150322003279I","22-MAR-15","NEW CASTLE","DE","NEW CASTLE","INCIDENT","MINOR","TAXI","AIRBUS","A319","111","FRONTIER AIRLINES INC","","AIR CARRIER/COMMERCIAL","","928FR","0","0","CFM IN","CFM56 SERIES","","","AIRLINE TRANSPORT","6949","4055","130",""
"20150322003679I","22-MAR-15","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","CIRRUS","SR20","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","433MJ","0","0","CONT M","IO-360 SER","","1","PRIVATE PILOT","67","3","",""
"20150322004809I","22-MAR-15","","VA","FOX FIRE","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","LUSCOMBE","8","E","","","GENERAL OPERATING RULES","","1929K","0","0","CONT M","C85 SERIES","","1","PRIVATE PILOT","700","45","2",""
"20150322005219I","22-MAR-15","MESA","AZ","PHOENIX-MESA GATEWAY","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BEECH","300","UNDESIGNATED SERIES","LANE AVIATION CORP","","AIR TAXI/COMMUTER","","700U","0","0","","","","2","","","","",""
"20150322011169I","22-MAR-15","PITTSBURGH","PA","","INCIDENT","NONE","TAKEOFF: CLIMB OUT","LANCAIR","LC41","550FG","","","GENERAL OPERATING RULES","","1268F","0","0","CONT M","TSIO-550-C","","","PRIVATE PILOT","","","",""
"20150323003699I","23-MAR-15","VERO BEACH","FL","VERO BEACH MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","201","FLIGHT SAFETY INTERNATIONAL","","PILOT SCHOOLS","","31567","0","0","LYCOMI","I0360 SER","C1C6","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","458","96","111",""
"20150323005689I","23-MAR-15","SIDNEY","OH","SIDNEY MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA24","250","","","GENERAL OPERATING RULES","","288AB","0","0","LYCOMI","0-540 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20150323021449I","23-MAR-15","RIVERSIDE","CA","RIVERSIDE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","H","","","GENERAL OPERATING RULES","","2489L","0","0","CONT M","0-300 SER","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","1300","800","210",""
"20150324004909I","24-MAR-15","SAN JOSE","CA","REID-HILLVIEW OF SANTA CLARA COUNTY","INCIDENT","NONE","TAKEOFF: CLIMB OUT","CHAMPION","7KCAB","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","1701H","0","0","LYCOMI","IO-320 SERIES","","1","","","","",""
"20150325002669I","25-MAR-15","LAS VEGAS","NM","LAS VEGAS MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","97VE","0","0","FRANKL","6A-350SER","","","PRIVATE PILOT","550","10","50",""
"20150325004379I","25-MAR-15","DENVER","CO","DENVER INTL","INCIDENT","MINOR","GROUND-RAMP","MCDONNELL DOUGLAS","MD90","30","DELTA AIR LINES INC","","AIR CARRIER/COMMERCIAL","","949DN","0","0","IAE","V2528-D5","","","","","","",""
"20150325005509I","25-MAR-15","SPRING","TX","DAVID WAYNE HOOKS MEMORIAL","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","419JM","0","1","ROTAX","914UL","","","PRIVATE PILOT","2500","53","16",""
"20150326003269I","26-MAR-15","TETERBORO","NJ","TETERBORO","INCIDENT","MINOR","TAXI","GULFSTREAM","GV","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","253CM","0","0","BMW RO","BR 700 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","7661","514","33",""
"20150326004319I","26-MAR-15","WELLFORD","SC","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","P206","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","442SS","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","930","50","180",""
"20150326004469I","26-MAR-15","NEW SMYRNA BEACH","FL","NEW SMYRNA BEACH MUNI","INCIDENT","MINOR","TAXI","CESSNA","172","S","PHOENIX EAST","","PILOT SCHOOLS","","10624","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","664","550","256",""
"20150326004799I","26-MAR-15","LITITZ","PA","LANCASTER","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA31","350","SUN AIR EXPRESS LLC","","AIR TAXI/COMMUTER","","3VM","0","0","LYCOMI","TI0-541 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","20100","230","139",""
"20150326006139I","26-MAR-15","SAN DIEGO","CA","MONTGOMERY FIELD","INCIDENT","NONE","LANDING: TOUCHDOWN","CESSNA","172","N","","","GENERAL OPERATING RULES","","738ZY","0","0","LYCOMI","0-320 SERIES","","1","STUDENT","30","30","22",""
"20150326007929I","26-MAR-15","DALLAS","TX","DALLAS/FORT WORTH INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","GULFSTREAM","GIV","UNDESIGNATED SERIES","OMNI AIR TRANSPORT LLC","","AIR TAXI/COMMUTER","","DRL90","0","0","","","","","","","","",""
"20150327002869I","27-MAR-15","DELAND","FL","DELAND MUNI-SIDNEY H TAYLOR FIELD","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BELL","407","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","803DS","0","0","ROLLS-","250-C47B","","1","","","","",""
"20150327004169I","27-MAR-15","MANSFIELD","OH","MANSFIELD LAHM RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","150","K","","","GENERAL OPERATING RULES","","6198G","0","0","CONT M","0-200 SERIES","CONT M","1","STUDENT","14","14","14",""
"20150327004209I","27-MAR-15","THERMOPOLIS","WY","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","MOONEY","M20D","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6641U","0","0","LYCOMI","O-360 SER","A1D","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","17000","5000","4",""
"20150327021599I","27-MAR-15","COLD BAY","AK","COLD BAY","INCIDENT","MINOR","TAXI","PIPER","PA11","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","591LR","0","0","CONT M","C90 SERIES","","","AIRLINE TRANSPORT","","","",""
"20150328003399I","28-MAR-15","BISMARCK","ND","BISMARCK MUNI","INCIDENT","MINOR","LANDING: APPROACH","BEECH","90","C90GTI","","","GENERAL OPERATING RULES","","26ND","0","0","P&W CA","PT6A-135A","","","","","","",""
"20150328003519I","28-MAR-15","OLATHE","KS","JOHNSON COUNTY EXECUTIVE","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","441","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","441CJ","0","0","AIRESE","TPE331 SERIES","","2","COMMERCIAL PILOT","6500","1400","70",""
"20150328003899I","28-MAR-15","MIDLAND","TX","MIDLAND INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","NORTH AMERICAN","T28","D","","","GENERAL OPERATING RULES","","81643","0","0","WRIGHT","R-1300-1B","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","12877","150","40",""
"20150328003949I","28-MAR-15","MESQUITE","TX","MESQUITE METRO","INCIDENT","NONE","LANDING: APPROACH","CESSNA","172","D","","","GENERAL OPERATING RULES","","2567U","0","0","CONT M","0-300 SER","UNKNOW","1","COMMERCIAL PILOT","","","",""
"20150329004099I","29-MAR-15","RIDGELAND","SC","RIDGELAND","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","T34","A","","","GENERAL OPERATING RULES","","34LF","0","0","CONT M","O-470 SERIES","","","COMMERCIAL PILOT","7900","1250","20",""
"20150329004139I","29-MAR-15","PEMBROKE PINES","FL","NORTH PERRY","INCIDENT","MINOR","TAXI","PIPER","PA28","180","","","GENERAL OPERATING RULES","","9285J","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","359","47","20",""
